time,pool_gb,avail_ram_gb,glm_rss_gb
05:59:48,15.94,11.76,0
05:59:54,15.94,11.87,0
06:00:00,15.98,8.55,3.22
06:00:06,15.97,1.33,10.43
06:00:12,15.95,1.19,10.43
06:00:18,15.95,1.25,10.43
06:00:24,15.95,1.32,10.43
06:00:30,15.97,0.18,8.61
06:00:36,15.98,1.07,9.39
06:00:42,15.97,1.61,10.19
06:00:48,15.97,1.3,10.51
06:00:54,15.97,1.07,10.69
06:01:00,15.97,0.83,10.89
06:01:06,15.98,0,1.66
06:01:13,15.98,0.17,1.96
06:01:19,15.98,0.34,3.81
06:01:25,15.99,0.47,2.53
06:01:31,16,0.93,3.1
06:01:37,15.99,1.12,7.12
06:01:43,15.98,0.68,11.33
06:01:49,15.98,0.5,11.7
06:01:55,15.98,0.41,11.7
06:02:01,15.99,0.44,11.65
06:02:07,15.98,0.34,11.6
06:02:13,15.98,0.29,11.57
06:02:19,15.98,0.55,11.53
06:02:25,15.98,0.42,11.38
06:02:31,15.99,0.44,11.33
06:02:37,15.98,0.39,11.33
06:02:43,15.98,0.39,11.32
06:02:49,15.98,0.35,11.32
06:02:55,15.98,0.33,11.32
06:03:01,15.99,0.51,11.31
06:03:07,15.98,0.51,11.31
06:03:13,15.98,0.44,11.31
06:03:19,15.98,0.41,11.31
06:03:25,15.98,0.4,11.31
06:03:31,15.98,0.41,11.3
06:03:37,15.98,0.37,11.3
06:03:43,15.98,0.41,11.3
06:03:49,15.98,0.35,11.44
06:03:55,15.99,0.34,11.43
06:04:01,15.99,0.42,11.46
06:04:07,15.98,0.38,11.46
06:04:13,15.99,0.35,11.32
06:04:19,15.98,0.36,11.27
06:04:25,15.98,0.33,11.32
06:04:31,15.98,0.29,10.72
06:04:37,15.99,0.26,10.5
06:04:43,15.99,1.24,10.53
06:04:50,15.99,0.96,9.89
06:04:56,15.99,0.68,11.23
06:05:02,15.98,0.59,11.32
06:05:08,15.98,0.55,11.32
06:05:14,15.98,0.53,11.46
06:05:20,15.98,0.45,11.46
06:05:26,15.98,0.39,11.51
06:05:32,15.98,0.3,11.53
06:05:38,15.98,0.37,11.52
06:05:44,15.98,0.35,11.52
06:05:50,15.98,0.32,11.52
06:05:56,15.98,0.3,11.52
06:06:02,15.98,0.32,11.48
06:06:08,15.98,0.38,11.45
06:06:14,15.98,0.33,11.47
06:06:20,15.98,0.35,11.46
06:06:26,15.98,0.36,11.45
06:06:32,15.98,0.34,11.44
06:06:38,15.99,0.38,11.41
06:06:44,15.99,0.38,11.38
06:06:50,15.99,0.37,11.38
06:06:56,15.99,0.37,11.37
06:07:02,15.99,0.39,11.06
06:07:08,15.99,0.31,11.45
06:07:14,16,0.38,11.06
06:07:20,16,0.33,10.85
06:07:26,15.99,0.36,9.78
06:07:32,15.99,0.94,11.32
06:07:38,15.99,0.85,11.32
06:07:44,15.99,0.82,11.32
06:07:50,15.99,0.82,11.32
06:07:56,15.98,0.81,11.32
06:08:02,15.98,0.71,11.32
06:08:08,15.98,0.69,11.32
06:08:14,15.98,0.69,11.32
06:08:20,15.98,0.65,11.28
06:08:26,15.98,0.64,11.26
06:08:32,15.98,0.63,11.26
06:08:38,15.99,0.59,11.24
06:08:44,15.98,0.6,11.24
06:08:50,15.98,0.59,11.24
06:08:56,15.98,0.56,11.24
06:09:02,15.98,0.52,11.24
